2025/06/26 01:41:01 [error] 283#283: *158 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-16x16.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:01 [error] 283#283: *158 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /css/main.css?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:01 [error] 284#284: *161 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /js/main.bundle.js?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:01 [error] 284#284: *161 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:01 [error] 285#285: *164 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/site.webmanifest HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:01 [error] 284#284: *161 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/apple-touch-icon.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:01 [error] 283#283: *158 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-32x32.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:01 [error] 283#283: *158 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-16x16.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:01 [error] 283#283: *158 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /css/main.css?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:01 [error] 284#284: *161 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /js/main.bundle.js?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:02 [error] 284#284: *161 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:02 [error] 285#285: *164 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/site.webmanifest HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:02 [error] 283#283: *158 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/apple-touch-icon.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:02 [error] 284#284: *161 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-32x32.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:02 [error] 284#284: *161 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-16x16.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:02 [error] 284#284: *161 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /css/main.css?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:02 [error] 283#283: *158 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /js/main.bundle.js?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:02 [error] 285#285: *164 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/site.webmanifest HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:02 [error] 283#283: *158 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:02 [error] 284#284: *161 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/apple-touch-icon.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:02 [error] 283#283: *158 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-32x32.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:02 [error] 284#284: *161 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-16x16.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:04 [error] 283#283: *158 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /js/main.bundle.js?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
